"binomial","Comp.1_mi_1","Comp.1_mi_10","Comp.1_mi_11","Comp.1_mi_12","Comp.1_mi_13","Comp.1_mi_14","Comp.1_mi_15","Comp.1_mi_16","Comp.1_mi_17","Comp.1_mi_18","Comp.1_mi_19","Comp.1_mi_2","Comp.1_mi_20","Comp.1_mi_21","Comp.1_mi_22","Comp.1_mi_23","Comp.1_mi_24","Comp.1_mi_25","Comp.1_mi_3","Comp.1_mi_4","Comp.1_mi_5","Comp.1_mi_6","Comp.1_mi_7","Comp.1_mi_8","Comp.1_mi_9","Comp.2_mi_1","Comp.2_mi_10","Comp.2_mi_11","Comp.2_mi_12","Comp.2_mi_13","Comp.2_mi_14","Comp.2_mi_15","Comp.2_mi_16","Comp.2_mi_17","Comp.2_mi_18","Comp.2_mi_19","Comp.2_mi_2","Comp.2_mi_20","Comp.2_mi_21","Comp.2_mi_22","Comp.2_mi_23","Comp.2_mi_24","Comp.2_mi_25","Comp.2_mi_3","Comp.2_mi_4","Comp.2_mi_5","Comp.2_mi_6","Comp.2_mi_7","Comp.2_mi_8","Comp.2_mi_9","Comp.3_mi_1","Comp.3_mi_10","Comp.3_mi_11","Comp.3_mi_12","Comp.3_mi_13","Comp.3_mi_14","Comp.3_mi_15","Comp.3_mi_16","Comp.3_mi_17","Comp.3_mi_18","Comp.3_mi_19","Comp.3_mi_2","Comp.3_mi_20","Comp.3_mi_21","Comp.3_mi_22","Comp.3_mi_23","Comp.3_mi_24","Comp.3_mi_25","Comp.3_mi_3","Comp.3_mi_4","Comp.3_mi_5","Comp.3_mi_6","Comp.3_mi_7","Comp.3_mi_8","Comp.3_mi_9","Comp.4_mi_1","Comp.4_mi_10","Comp.4_mi_11","Comp.4_mi_12","Comp.4_mi_13","Comp.4_mi_14","Comp.4_mi_15","Comp.4_mi_16","Comp.4_mi_17","Comp.4_mi_18","Comp.4_mi_19","Comp.4_mi_2","Comp.4_mi_20","Comp.4_mi_21","Comp.4_mi_22","Comp.4_mi_23","Comp.4_mi_24","Comp.4_mi_25","Comp.4_mi_3","Comp.4_mi_4","Comp.4_mi_5","Comp.4_mi_6","Comp.4_mi_7","Comp.4_mi_8","Comp.4_mi_9","Comp.1_mean","Comp.2_mean","Comp.3_mean","Comp.4_mean","Comp.5_mean"
"Akodon cursor",-0.907919332812265,-0.935086251252682,-0.876037332932017,-0.938586835709142,-0.896038985083221,-0.911200468393181,-0.89331494502734,-0.900545787005946,-0.891419393064566,-0.967713209878296,-0.920347058488303,-0.917837373286854,-0.895235501102944,-0.886440134266951,-0.945749478203597,-0.889291272194878,-0.898799816916191,-0.905842398396996,-0.902841500699083,-0.949604335831895,-0.902254439934107,-0.919554432447533,-0.926116580667127,-0.943936377204673,-0.899744115855896,-0.268522398807347,-0.198572199731211,-0.240400005629055,0.164810523776971,-0.409269438140081,-0.267212448614799,-0.300158664487505,-0.364238645008219,-0.190329358846208,-0.178538290896984,-0.282322222808967,0.176259597225826,0.191631599521463,-0.386024186289482,-0.199803227786914,-0.342161813364064,-0.2818331020165,-0.241001767120303,0.181116395419477,-0.20989617880671,-0.656645967388498,-0.294380411065834,-0.222435158403089,-0.199573471823897,-0.335748324119432,-0.63362744537265,-0.6379880179707,-0.668857958202056,-0.614386788203192,-0.555693837889537,-0.637546763753133,-0.618320802906035,-0.549806616979344,-0.603182387224782,0.603090525771122,-0.640723301699619,-0.661147077938529,-0.659798920055517,-0.577358124510917,-0.591225930398332,-0.606257103721146,-0.621955465154467,-0.627449833961418,-0.629545585411732,-0.597118017425665,0.102688160859766,-0.533347291764845,-0.580929178082633,-0.603083741816629,-0.603231128639804,0.734252671014742,0.695782001102574,0.747006139187484,0.683950194262067,0.690517665218613,0.717532358205194,0.731490142568013,0.720440205046595,0.734314306354151,0.647828268502035,0.709358628873202,0.712649275711326,0.731921970609046,0.714708143067683,0.64444565499988,0.738927504766482,0.701921179107022,0.710727419121169,0.727285019197839,0.652690577330888,0.70592576556225,0.699793945110586,0.691487791284954,0.66453703928124,0.710035304785689,-0.912858294266227,-0.214209966608454,-0.533872105298072,0.704781166810829,NA
"Alouatta caraya",0.271313468886023,0.340084326219415,0.25638050818454,0.371265382011074,0.295277083246703,0.296010543591338,0.260282418043846,0.263595725620264,0.301669852411442,0.413707546272026,0.297724624412589,0.317389417058295,0.294657072483532,0.283906394923256,0.399339387463071,0.245012357761186,0.295316352422771,0.307537540485571,0.313688195912568,0.37244996474906,0.282488023238411,0.315761063888523,0.352971849318742,0.377806536011699,0.286622454220017,0.644105658910304,0.609582796322694,0.673990994287377,-0.557870931519406,0.827161425053776,0.674784673429821,0.736434611361915,0.783204348554474,0.618303918991415,0.577856937785345,0.610582145564034,-0.57899791372302,-0.630253115616904,0.842451328828951,0.612265545115412,0.699521604049884,0.669400974190769,0.629477875809704,-0.613288356061331,0.58072725393379,1.44676546498146,0.717859481159028,0.6249945870994,0.603566762894092,0.743178639325567,1.30328000785549,1.33636897143308,1.27827613948935,1.37492487732343,1.17668795742198,1.29173286101966,1.25795376259679,1.22759921730929,1.3223808056206,-1.36019179078274,1.31642440684347,1.33388381924639,1.30839788353271,1.19906667627598,1.35319397862204,1.28037963127674,1.2887208755382,1.30868131547107,1.33352976513848,1.33716772512216,-0.119062616507762,1.27857215518391,1.34024206173586,1.35333246367241,1.25730476470401,-0.438678793172211,-0.390844125013236,-0.485620994383012,-0.389105095826898,-0.399657310938705,-0.425807588784222,-0.450243941135424,-0.426545801332575,-0.511306370768841,-0.316744211100159,-0.392871134255824,-0.415084192251528,-0.462882961937861,-0.453069339556027,-0.345454013569191,-0.460428989754923,-0.424716058210401,-0.435509787656261,-0.467072337602114,-0.318389512594398,-0.414987635610997,-0.420606032063053,-0.422327161394408,-0.358468373625653,-0.426987804585835,0.312490323553438,0.501832268429142,1.1351539086057,-0.41813638268495,NA
"Alouatta ululata",-0.16167858638315,-0.147851142136361,-0.177741571318867,-0.0924447931254616,-0.163808479845703,-0.152038624039661,-0.193425834866181,-0.158423436344506,-0.218420735808545,0.0145284057007026,-0.124652851787659,-0.131109143040935,-0.136183983289126,-0.165079579225357,-0.307275251525031,-0.252736536455178,-0.156186261654522,-0.122783760094478,-0.114017775215812,-0.0598713884690072,-0.146979873398751,-0.109890636708946,-0.142461680683694,-0.105543787841118,-0.14503412438548,0.737768544142392,1.43259939327065,0.742795925822838,-1.72547956202207,1.11008779893133,0.913906986806569,1.03616984154194,0.863139117707763,3.24320430931774,0.640472317436747,0.666821733327046,-1.59316139988956,-0.706158927863068,1.07359980785342,2.80494418007626,1.11797762058107,0.987224868772939,0.694684467096175,-0.688828470274089,1.09863478198511,1.63082864063578,0.792515407048075,1.44459079508221,1.44942739079236,0.819574638554689,1.45360033353613,0.729704884021932,1.46361930908618,0.502447470798657,1.03815916124275,1.28028533513103,1.15287440443676,1.40088027627373,-1.12094369726182,-1.54327708513677,1.49692929901142,0.56947053821097,1.49144527932521,1.14895311200407,-0.669699785669411,1.03220589040201,1.17656499627945,1.49405804014423,1.52266882391759,1.06685625257742,-0.146690195982195,1.463031532738,0.739781397365926,0.74448951285308,1.42911233649468,0.0364075683955894,0.193621567511273,-0.0165435359835381,0.276079512746703,0.108924326100548,0.0782678230475271,0.0631232243297352,0.0372602896751506,0.533324872217661,0.139031492343082,0.0738914483848301,0.23604474251289,0.00721364368017374,0.0500600901244944,0.315176415454717,0.0677463901754647,0.078041223756491,0.0364684767679135,0.000550176703949801,0.179300889675549,0.0600882591479208,0.0488431145601801,0.176463825289209,0.199046260403233,0.0480068975377387,-0.146844457277713,0.823493608269373,0.836661096872041,0.121057559782339,NA
"Anoura caudifer",-0.253759428279689,-0.224336408331446,-0.266248271165796,-0.221601080272742,-0.228599054442716,-0.241463722289733,-0.256252327033048,-0.249535051660187,-0.246081688150863,-0.183618262084294,-0.24163904224264,-0.248877687827075,-0.257904200721746,-0.235036111309488,-0.18018822155464,-0.240074445777502,-0.228195028756087,-0.23856254026056,-0.254106829037374,-0.210343312808628,-0.240975928063518,-0.223845135147648,-0.213396106926528,-0.204445019213333,-0.233086612489707,-0.0255658799675268,-0.0290755839622561,0.00659469219838038,0.0412771000931095,0.0866603463839636,0.00157352344631378,0.034504772959179,0.0639144582732861,-0.0138667533610441,-0.0383053119592604,-0.0508376219797629,0.0368423556568718,0.00263343746076911,0.0913858223653874,-0.0237461408523219,-0.0177771396818504,-0.0121277926678858,-0.0192079618051216,0.00507843024140453,-0.0338294746275712,0.663585685322515,0.0407501609972808,-0.0155838606657459,-0.0235548114320707,0.0299045413057961,0.790596001601043,0.819607446699307,0.757997453544799,0.830094621372282,0.776569366064683,0.784645859320788,0.789610527350077,0.774348184397625,0.79982801149668,-0.839734983342862,0.798590417867372,0.793517635140074,0.77315566242917,0.800004463366216,0.848993079160933,0.799756022588083,0.801285397193394,0.791244026363751,0.791672768708319,0.812973944157087,-0.411366800364243,0.796023599302484,0.830168428926403,0.832599042747599,0.796692345931836,-0.184326315131641,-0.16692580961357,-0.216046579956523,-0.178875468593921,-0.163816492597396,-0.179124313781725,-0.187789020994534,-0.164586270819318,-0.239519581003537,-0.130493095168311,-0.165639253340599,-0.186969872600522,-0.211690636850412,-0.197547101159513,-0.14153439792574,-0.18444899620052,-0.180787125264514,-0.194608801932465,-0.220966498844319,-0.130953157608571,-0.160590612156622,-0.169983300282247,-0.189074997234523,-0.151073530654601,-0.174050009344828,-0.23288686063388,0.0320490797496736,0.685554900880916,-0.178856849562419,NA
"Anoura geoffroyi",0.665713707925932,0.670716866616647,0.661256593472406,0.667082329704995,0.688379123994848,0.681947434587817,0.667670701409903,0.654317403459557,0.674266677497145,0.674181433554419,0.662752824756652,0.645885291120299,0.662527543268779,0.68561093685406,0.681722204792932,0.684975236876572,0.669020260821194,0.681479749392737,0.659953796997717,0.612957178322317,0.677407452099684,0.687043553500643,0.695932412373036,0.661770923135514,0.689855946433239,-0.153954024303002,-0.173198020882125,-0.140755970046773,0.188374620342799,-0.0849361645281738,-0.14003845401718,-0.124158071397382,-0.0954054357571033,-0.171817960706875,-0.173161969647124,-0.169941393613244,0.183907374056078,0.157368161038956,-0.0870869493917806,-0.17433347191223,-0.128936692663383,-0.146543347139137,-0.157049691191998,0.161147513753949,-0.168293204148298,0.306638331935712,-0.108974687866269,-0.162001392224495,-0.174049682481922,-0.122602793948665,0.439352948727944,0.468013933545467,0.413875536996456,0.468961621456578,0.468968294205359,0.441271610933011,0.459368935726589,0.444204571381671,0.422483296941442,-0.483173769799253,0.454561213882709,0.44237801863672,0.421017848731909,0.479992077669911,0.502754602656821,0.447477621915666,0.459577494041671,0.439088604898712,0.427367541146313,0.468637266365049,-0.361534839562641,0.439976945245218,0.464616063963707,0.484240309491547,0.468086635617041,-1.06738591731958,-1.03968109316034,-1.10077844875942,-1.04944692588389,-1.05767442158051,-1.07234618708439,-1.07625587653525,-1.03651618434216,-1.11346679123994,-0.984855367499643,-1.0434800322083,-1.05279282288121,-1.09578230866124,-1.08683923915504,-0.993441509853176,-1.06944963904895,-1.04813989567225,-1.08328769650827,-1.10015662608037,-0.94455212536216,-1.05443913234671,-1.05251238436476,-1.07324125787374,-1.00372382664937,-1.06805003913231,0.670577103318762,-0.0743921350695867,0.383262575392625,-1.05473182996812,NA
"Artibeus cinereus",-0.413458161168045,1.89608423775562,-0.431926997221239,-0.312874481748326,-0.617149601884762,-0.162250554835979,-0.193996949019195,0.266303714379765,-0.618566912111711,0.815937943985699,-0.156894468797079,-0.364559653987992,-0.396449523397452,0.0599514367961755,-0.0535993381250489,0.260850738485459,-0.378889944818968,-0.381901006994102,0.0794108030518165,0.132055008403586,0.0575634581524366,-0.595399548764218,0.119185890124165,-0.293755761854905,-0.629085021866836,0.548513101542858,0.172647591806442,0.591662676626109,-0.505164319627191,0.775165650291052,0.55057450996831,0.603835671750102,0.562188717944214,0.592044143232535,0.337904485470032,0.487189450289903,-0.518734955666528,-0.567706540649576,0.658055403311545,0.499914769899309,0.48591479188702,0.570678121552387,0.549650715427885,-0.481600136234874,0.444133287948712,1.24589804160639,0.663834123681928,0.477575486516573,0.536628833596676,0.681137406249686,1.33608830718765,0.502050022230044,1.29681613402464,1.41452024406131,1.30117617583114,1.24028406029448,1.20831614320732,1.02277915985997,1.45040863985523,-0.974613726486915,1.26531320259551,1.3619610397975,1.33043341432914,1.08618639193726,1.32302500367477,1.0601196532704,1.32888038156034,1.34209203475174,1.17761396954984,1.21257774016824,-0.189290422822247,1.41852563713332,1.20583150434223,1.40044250626443,1.38032565581487,-0.151341816528626,-2.29896918339257,-0.192886004660274,-0.118708772495868,0.111552728667771,-0.359428479166354,-0.380350912751502,-0.7964640080007,-0.00487344175018328,-1.1282922771148,-0.334238583592835,-0.141950640787811,-0.17529295035706,-0.607208134506006,-0.298681655684765,-0.830807046331283,-0.147114698710585,-0.148993216284693,-0.62257242495186,-0.486253640607467,-0.569703435055581,0.085539436604334,-0.582696810911395,-0.0972917240958117,0.0883253115019743,-0.0925365878184455,0.39847764113686,1.10007451489729,-0.407548095238558,NA
"Artibeus concolor",-0.413032814555646,-0.340758847607005,-0.431667269687306,-0.312452209430737,-0.387660890617766,-0.392981397979151,-0.424696708471595,-0.411694360709723,-0.388377909925756,-0.255765174808604,-0.382894102687999,-0.364270849705537,-0.396214627139468,-0.399712746181191,-0.28060009127874,-0.433252355774811,-0.378411849218819,-0.381641528446846,-0.377280370746219,-0.279112721207217,-0.40114454624143,-0.367431697115012,-0.335179201046717,-0.293589192994617,-0.397675071653587,0.546810674889353,0.531605964681989,0.591676572069812,-0.501453917236933,0.732126495317208,0.587883095544813,0.643731227753418,0.685033241392987,0.555903290686013,0.505790977701532,0.518945031620317,-0.517804097227183,-0.569482989578297,0.744888253842483,0.619640103630075,0.573209077108144,0.569022338121027,0.549659917705016,-0.558284000584347,0.510057229061464,1.42491366859604,0.626239658114063,0.55122931281144,0.537520145557443,0.639770204328072,1.33801501986576,1.38252509864623,1.29687027998503,1.41811062858445,1.2245439284867,1.32404758162592,1.29067161940907,1.26611174804038,1.35265368787356,-1.42098469507826,1.34924447540341,1.36292748418269,1.32862526707348,1.25000562373691,1.3244074214241,1.3197614195055,1.33085388168175,1.34212921736599,1.36118914452614,1.3860433881635,-0.215922806943185,1.32974773200294,1.38818410717619,1.39955119141388,1.30239104611078,-0.151414098095805,-0.116646104216968,-0.192637188597436,-0.119132529602332,-0.111726293634495,-0.135503620078588,-0.157907437639298,-0.141630923669441,-0.222389027984357,-0.0599608174053254,-0.114136470977563,-0.141884086415178,-0.174643043987377,-0.162762749875788,-0.0774342904777449,-0.166070658504913,-0.147137249094649,-0.148740834929996,-0.182971756535011,-0.0792961102427218,-0.122591997939776,-0.134905576566424,-0.140205613682104,-0.0969176700985945,-0.135468265243001,-0.36909994140926,0.443945259036238,1.16126813961052,-0.137364576619796,NA
"Artibeus lituratus",0.0476464894249831,0.107528191368769,0.0333746597374028,0.132974249778831,0.071870430344042,0.0700046437950716,0.0383958413490637,0.0416815780389158,0.0732123669425702,0.173866041776685,0.0705651801108283,0.0843721114521468,0.0653818161926635,0.0613293338126878,0.163082511812084,0.0307368629288802,0.0709918030150122,0.0795651954094953,0.0811507415468381,0.133395642812489,0.0589238140011848,0.0890288826100974,0.120596549179276,0.140681663159472,0.0643900588455494,0.487466013896827,0.466426721133663,0.521082854526148,-0.434779004466003,0.648788646788776,0.518430602346172,0.567319254172451,0.605221039776621,0.476518410460532,0.443418937098372,0.460773745903771,-0.448411527299818,-0.493442698203639,0.66104711643154,0.465693284492535,0.517476779581455,0.506580654133461,0.483815003060544,-0.485097598734172,0.44762675448291,1.24485367427162,0.554142606440677,0.481104454885506,0.464514360821982,0.569453869414573,1.15741366584444,1.19969478158512,1.1217624290676,1.23099254680407,1.06735473102837,1.15112734673295,1.12226004439899,1.10164735140495,1.16472616144425,-1.23777549328179,1.17598195876838,1.18338005206096,1.15142939906759,1.08209692387761,1.23301285205563,1.14429119774046,1.15481007237277,1.16301215036855,1.17432806417268,1.20919458982243,-0.184593480034021,1.14884315638114,1.20234370067898,1.22317768203704,1.13083308383248,-0.590697466569822,-0.550562599109195,-0.632986589215325,-0.551769628072747,-0.556898474969626,-0.580534577798905,-0.600269896568004,-0.576295008383811,-0.658118523837209,-0.485160103791204,-0.551456922906491,-0.572591610160238,-0.615038328850845,-0.604918640878252,-0.509650304515451,-0.60728704403557,-0.578695390703077,-0.591132513522633,-0.620030948031999,-0.484050709459624,-0.567633975556603,-0.574433708282149,-0.580396356896133,-0.52156593478806,-0.58021514995937,0.0841898663778015,0.38920095821666,1.01085379872927,-0.573695616274494,NA
"Artibeus obscurus",-0.182743272684425,-0.11674811116497,-0.199216010386215,-0.0898714211201139,-0.157824927409305,-0.161384124150193,-0.193129650754388,-0.184727230915797,-0.157590925518466,-0.0409624480672231,-0.156029029340902,-0.140037283530023,-0.16551269723394,-0.169324960589365,-0.0527402116135098,-0.200805117703271,-0.153733551141967,-0.151049129732808,-0.148198343437985,-0.0728941761811652,-0.171148329582243,-0.139116968503384,-0.107260943663242,-0.0763574463735516,-0.166775462397971,0.516266264791449,0.499012301622051,0.554654483835051,-0.468122329943218,0.689126266986707,0.550634553031221,0.603927998166164,0.642328410474934,0.512643372402293,0.473686591927351,0.487233409711147,-0.481721479409665,-0.528797050897817,0.70295237956332,0.499960391814712,0.542071974829087,0.536947146325506,0.515003412103242,-0.520804538651133,0.477969271544257,1.33519045895965,0.588682546660118,0.514425994634607,0.498798157667651,0.604595711060589,1.24863806194096,1.29109801993798,1.21119651825547,1.32453885612754,1.14793998926861,1.24039502837955,1.20844668215753,1.18750018164651,1.26235694145428,-1.33027571370955,1.26541154162143,1.27452786858329,1.24278827059126,1.16603450059485,1.32303011702727,1.23589678440211,1.24378921144704,1.25440296813354,1.26863794694294,1.29847347953533,-0.201418714235904,1.24100029466552,1.29708204895213,1.31361617741334,1.21659817643917,-0.371346647938666,-0.333735009094164,-0.413325071637939,-0.33558193711493,-0.334666420542299,-0.358585251877883,-0.379514322879557,-0.359526941515304,-0.44119313316277,-0.272800211967088,-0.333391786668207,-0.357647408199184,-0.395568268934022,-0.383969492839988,-0.297822907985943,-0.387328085809209,-0.363183386220045,-0.370401404621764,-0.401845284960176,-0.281924957914353,-0.34533752707955,-0.355011320832735,-0.36072943142764,-0.309667435112152,-0.35797103047013,-0.142207270927857,0.413866627968371,1.08926820950289,-0.356082987072228,NA
"Artibeus planirostris",-0.182841449736794,-0.116853930512954,-0.199109112219015,-0.0898029362158611,-0.157997982831022,-0.161466884116031,-0.193203726040284,-0.184905854310968,-0.157482071230562,-0.0412065806604273,-0.156153425659744,-0.139923781905878,-0.165328071199894,-0.169454912858194,-0.0530210402815688,-0.201157708052335,-0.153937820618233,-0.151059684791752,-0.147962514576296,-0.0730480009048839,-0.171295424898946,-0.139318260927128,-0.107354141407355,-0.0764909127546098,-0.166970774708402,0.519730871522004,0.502667124662472,0.558103203331266,-0.471810984590973,0.69178523750599,0.554001511918559,0.607119023010806,0.645141181119551,0.516213455511219,0.477357691242195,0.490737568718318,-0.485420677236773,-0.532351195656794,0.705770901423089,0.503530971131459,0.545361144478978,0.540334479525573,0.518470356722592,-0.524361353007252,0.481459512846214,1.3339180935766,0.591696227230915,0.517906732898953,0.502349080272334,0.607699415437087,1.24489814326435,1.28730088134233,1.20742941281364,1.32099564804098,1.14395602491134,1.23665881288919,1.20448008854899,1.18389055202591,1.25871028010073,-1.32669443860714,1.26168682587417,1.27084606401765,1.23911772023322,1.16175523410914,1.31933809901588,1.23203946676397,1.23992673326688,1.2507337450867,1.26506331868459,1.29504690590669,-0.19678995253279,1.23758774656712,1.29344248595762,1.31001433656908,1.21267529921687,-0.370472645540555,-0.332925578188254,-0.412329852933766,-0.334673288607533,-0.33399001712661,-0.3577756435738,-0.378694369931303,-0.358865516362724,-0.440157025482956,-0.272138072515578,-0.33254336426008,-0.356673463182018,-0.394543849282506,-0.383137415665565,-0.297245568257927,-0.386581847776734,-0.362405792672987,-0.369503536892532,-0.400757926847972,-0.281214804967786,-0.344729111746327,-0.354359667984351,-0.359904358221088,-0.308965909931659,-0.357267402213407,-0.142293880136765,0.415896382943776,1.08616437736268,-0.355274241206641,NA
