"sp"
"Caluromys philander"
"Cryptonanus agricolai"
"Didelphis albiventris"
"Didelphis marsupialis"
"Gracilinanus agilis"
"Gracilinanus microtarsus"
"Marmosa demerarae"
"Marmosa murina"
"Marmosops incanus"
"Metachirus nudicaudatus"
"Monodelphis americana"
"Monodelphis domestica"
"Thylamys karimii"
"Dasypus novemcinctus"
"Dasypus septemcinctus"
"Euphractus sexcinctus"
"Cabassous tatouay"
"Cabassous unicinctus"
"Priodontes maximus"
"Tolypeutes tricinctus"
"Myrmecophaga tridactyla"
"Tamandua tetradactyla"
"Alouatta caraya"
"Alouatta ululata"
"Callithrix jacchus"
"Callithrix penicillata"
"Cebus libidinosus"
"Cebus xanthosternos"
"Callicebus barbarabrownae"
"Callicebus melanochir"
"Cavia aperea"
"Galea spixii"
"Hydrochoerus hydrochaeris"
"Kerodon rupestris"
"Akodon cursor"
"Calomys expulsus"
"Cerradomys langguthi"
"Cerradomys vivoi"
"Euryoryzomys russatus"
"Holochilus sciureus"
"Hylaeamys megacephalus"
"Necromys lasiurus"
"Nectomys rattus"
"Oecomys catherinae"
"Oligoryzomys mattogrossae"
"Oligoryzomys nigripes"
"Oligoryzomys rupestris"
"Oligoryzomys stramineus"
"Oxymycterus dasytrichus"
"Oxymycterus delator"
"Pseudoryzomys simplex"
"Rhipidomys cariri"
"Rhipidomys cearanus"
"Rhipidomys macrurus"
"Rhipidomys mastacalis"
"Wiedomys cerradensis"
"Wiedomys pyrrhorhinos"
"Cuniculus paca"
"Dasyprocta azarae"
"Dasyprocta prymnolopha"
"Makalata didelphoides"
"Phyllomys blainvilii"
"Phyllomys lamarum"
"Thrichomys apereoides"
"Thrichomys inermis"
"Thrichomys laurentius"
"Trinomys albispinus albispinus"
"Trinomys albispinus minor"
"Trinomys yonenagae"
"Coendou baturitensis"
"Coendou prehensilis"
"Guerlinguetus brasiliensis"
"Sylvilagus minensis"
"Peropteryx kappleri"
"Peropteryx macrotis"
"Peropteryx trinitatis"
"Rhynchonycteris naso"
"Saccopteryx bilineata"
"Saccopteryx leptura"
"Furipterus horrens"
"Cynomops abrasus"
"Cynomops greenhalli"
"Cynomops planirostris"
"Eumops auripendulus"
"Eumops glaucinus"
"Eumops perotis"
"Molossops temminckii"
"Molossus molossus"
"Molossus pretiosus"
"Molossus rufus"
"Neoplatymops mattogrossensis"
"Nyctinomops aurispinosus"
"Nyctinomops laticaudatus"
"Nyctinomops macrotis"
"Promops nasutus"
"Tadarida brasiliensis"
"Pteronotus gymnonotus"
"Pteronotus parnellii"
"Pteronotus personatus"
"Natalus macrourus"
"Noctilio leporinus"
"Carollia brevicauda"
"Carollia perspicillata"
"Desmodus rotundus"
"Diaemus youngii"
"Diphylla ecaudata"
"Anoura caudifer"
"Anoura geoffroyi"
"Dryadonycteris capixaba"
"Glossophaga soricina"
"Lionycteris spurrelli"
"Lonchophylla dekeyseri"
"Lonchophylla inexpectata"
"Lonchophylla mordax"
"Xeronycteris vieirai"
"Chrotopterus auritus"
"Lonchorhina aurita"
"Lophostoma brasiliense"
"Lophostoma carrikeri"
"Lophostoma silvicolum"
"Macrophyllum macrophyllum"
"Micronycteris megalotis"
"Micronycteris minuta"
"Micronycteris sanborni"
"Micronycteris schmidtorum"
"Mimon bennettii"
"Mimon crenulatum"
"Phylloderma stenops"
"Phyllostomus discolor"
"Phyllostomus elongatus"
"Phyllostomus hastatus"
"Tonatia bidens"
"Tonatia saurophila"
"Trachops cirrhosus"
"Vampyrum spectrum"
"Artibeus cinereus"
"Artibeus concolor"
"Artibeus fmbriatus"
"Artibeus lituratus"
"Artibeus obscurus"
"Artibeus planirostris"
"Chiroderma villosum"
"Chiroderma vizottoi"
"Platyrrhinus lineatus"
"Platyrrhinus recifnus"
"Pygoderma bilabiatum"
"Sturnira lilium"
"Sturnira tildae"
"Uroderma bilobatum"
"Uroderma magnirostrum"
"Myotis albescens"
"Myotis lavali"
"Myotis nigricans"
"Myotis riparius"
"Myotis ruber"
"Eptesicus brasiliensis"
"Eptesicus furinalis"
"Histiotus velatus"
"Lasiurus blossevillii"
"Lasiurus ega"
"Lasiurus egregius"
"Rhogeessa hussoni"
"Cerdocyon thous"
"Lycalopex vetulus"
"Speothos venaticus"
"Leopardus braccatus"
"Leopardus pardalis"
"Leopardus tigrinus"
"Leopardus wiedii"
"Puma concolor"
"Puma yagouaroundi"
"Panthera onca"
"Conepatus amazonicus"
"Lontra longicaudis"
"Eira barbara"
"Galictis cuja"
"Nasua nasua"
"Procyon cancrivorus"
"Tapirus terrestris"
"Mazama americana"
"Mazama gouazoubira"
"Pecari tajacu"
"Tayassu pecari"
