"sp","body_mass_median","litter_clutch_size","hab_breadth","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto"
"Abditomys_latidens",268.09,NA,2,0,0,0,0,0,0,0,0,0,10
"Abeillia_abeillei",2.7,2,2,1,0,0,0,0,0,0,9,0,0
"Abeomelomys_sevia",54.88,1,2,1,0,0,0,0,0,1,0,2,6
"Abrawayaomys_ruschii",62.99,NA,1,2,0,0,0,0,0,1,0,4,3
"Abrocoma_bennettii",250.5,3.93,1,0,0,0,0,0,0,0,0,0,10
"Abrocoma_boliviensis",158,NA,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma_budini",214.69,1.995,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma_cinerea",221.82,2.0925,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma_famatina",214.69,1.995,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma_shistacea",214.69,1.995,2,0,0,0,0,0,0,0,0,0,10
"Abrocoma_uspallata",189.48465,NA,3,0,0,0,0,0,0,0,0,0,10
"Abrocoma_vaccarum",221.82,1.995,1,0,0,0,0,0,0,0,0,0,10
"Abroscopus_albogularis",4.84,3.9,2,10,0,0,0,0,0,0,0,0,0
"Abroscopus_schisticeps",4.775,4.5,1,10,0,0,0,0,0,0,0,0,0
"Abroscopus_superciliaris",6.49,3.2,2,10,0,0,0,0,0,0,0,0,0
"Abrothrix_andinus",24.91,NA,2,3,0,0,0,0,0,0,0,0,7
"Abrothrix_hershkovitzi",30.96,NA,NA,3,0,0,0,0,0,0,0,0,7
"Abrothrix_illuteus",47.79,NA,1,3,0,0,0,0,0,0,0,0,7
"Abrothrix_jelskii",34.5,NA,5,3,0,0,0,0,0,0,0,0,7
"Abrothrix_lanosus",27.83,NA,2,3,0,0,0,0,0,0,0,0,7
"Abrothrix_longipilis",38.86,4.2725,5,3,0,0,0,0,0,0,0,0,7
"Abrothrix_markhami",29.03,5.42,NA,3,0,0,0,0,0,0,0,0,7
"Abrothrix_olivaceus",24.52,5.38,3,3,0,0,0,0,0,0,0,0,7
"Abrothrix_sanborni",24.7,NA,1,3,0,0,0,0,0,0,0,0,7
"Aburria_aburri",1366.915,NA,3,0,0,0,0,0,0,10,0,0,0
"Acanthagenys_rufogularis",47.8,2.3,6,4,0,0,0,1,0,1,3,1,0
"Acanthidops_bairdi",16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthisitta_chloris",6.7175,4,4,9,0,0,0,0,0,1,0,0,0
"Acanthiza_apicalis",7.56,NA,10,7,0,0,0,0,0,1,1,1,0
"Acanthiza_chrysorrhoa",9.3325,3.5,10,8,0,0,0,0,0,0,0,2,0
"Acanthiza_ewingii",6.925,3.5,6,8,0,0,0,0,0,0,0,2,0
"Acanthiza_inornata",7,3.5,5,8,0,0,0,0,0,0,2,0,0
"Acanthiza_iredalei",5.92,3,3,8,0,0,0,0,0,0,0,1,1
"Acanthiza_katherina",7.025,2.25,2,10,0,0,0,0,0,0,0,0,0
"Acanthiza_lineata",6.975,3,9,6,0,0,0,0,0,0,2,2,0
"Acanthiza_murina",8.4,2,1,10,0,0,0,0,0,0,0,0,0
"Acanthiza_nana",6.27,3,9,8,0,0,0,0,0,0,0,2,0
"Acanthiza_pusilla",7.61,2.7,11,7,0,0,0,0,0,1,1,1,0
